Year,Title,Nominations,Awards
2015,Spotlight,6,2
2015,Mad Max: Fury Road,10,6
2015,The Revenant,12,3
2015,Bridge of Spies,6,1
2015,The Big Short,5,1
2015,The Danish Girl,4,1
2015,Room,4,1
2015,Ex Machina,2,1
2015,The Hateful Eight,2,1
2015,Inside Out,2,1
2015,Amy,1,1
2015,Bear Story,1,1
2015,A Girl in the River: The Price of Forgiveness,1,1
2015,Son of Saul,1,1
2015,Spectre,1,1
2015,Stutterer,1,1
2014,Spotlight,6,2
2014,Mad Max: Fury Road,10,6
2014,The Revenant,12,3
2014,Bridge of Spies,6,1
2014,The Big Short,5,1
2014,The Danish Girl,4,1
2014,Room,4,1
2014,Ex Machina,2,1
2014,The Hateful Eight,2,1
2014,Inside Out,2,1
2014,Amy,1,1
2014,Bear Story,1,1
2014,A Girl in the River: The Price of Forgiveness,1,1
2014,Son of Saul,1,1
2014,Spectre,1,1
2014,Stutterer,1,1
2013,Spotlight,6,2
2013,Mad Max: Fury Road,10,6
2013,The Revenant,12,3
2013,Bridge of Spies,6,1
2013,The Big Short,5,1
2013,The Danish Girl,4,1
2013,Room,4,1
2013,Ex Machina,2,1
2013,The Hateful Eight,2,1
2013,Inside Out,2,1
2013,Amy,1,1
2013,Bear Story,1,1
2013,A Girl in the River: The Price of Forgiveness,1,1
2013,Son of Saul,1,1
2013,Spectre,1,1
2013,Stutterer,1,1
2012,Spotlight,6,2
2012,Mad Max: Fury Road,10,6
2012,The Revenant,12,3
2012,Bridge of Spies,6,1
2012,The Big Short,5,1
2012,The Danish Girl,4,1
2012,Room,4,1
2012,Ex Machina,2,1
2012,The Hateful Eight,2,1
2012,Inside Out,2,1
2012,Amy,1,1
2012,Bear Story,1,1
2012,A Girl in the River: The Price of Forgiveness,1,1
2012,Son of Saul,1,1
2012,Spectre,1,1
2012,Stutterer,1,1
2011,Spotlight,6,2
2011,Mad Max: Fury Road,10,6
2011,The Revenant,12,3
2011,Bridge of Spies,6,1
2011,The Big Short,5,1
2011,The Danish Girl,4,1
2011,Room,4,1
2011,Ex Machina,2,1
2011,The Hateful Eight,2,1
2011,Inside Out,2,1
2011,Amy,1,1
2011,Bear Story,1,1
2011,A Girl in the River: The Price of Forgiveness,1,1
2011,Son of Saul,1,1
2011,Spectre,1,1
2011,Stutterer,1,1
2010,Spotlight,6,2
2010,Mad Max: Fury Road,10,6
2010,The Revenant,12,3
2010,Bridge of Spies,6,1
2010,The Big Short,5,1
2010,The Danish Girl,4,1
2010,Room,4,1
2010,Ex Machina,2,1
2010,The Hateful Eight,2,1
2010,Inside Out,2,1
2010,Amy,1,1
2010,Bear Story,1,1
2010,A Girl in the River: The Price of Forgiveness,1,1
2010,Son of Saul,1,1
2010,Spectre,1,1
2010,Stutterer,1,1
